"blind_id","detection_status"
"blind_000296","missed"
"blind_000297","missed"
"blind_000298","missed"
"blind_000299","missed"
"blind_000300","missed"
"blind_000301","found"
"blind_000302","missed"
"blind_000303","found"
"blind_000304","missed"
"blind_000305","found"
"blind_000306","found"
"blind_000307","found"
"blind_000308","missed"
"blind_000309","missed"
"blind_000310","missed"
"blind_000311","found"
"blind_000312","missed"
"blind_000313","missed"
"blind_000314","missed"
"blind_000315","missed"
"blind_000316","missed"
"blind_000317","missed"
"blind_000318","missed"
"blind_000319","found"
"blind_000320","found"
"blind_000321","missed"
"blind_000322","found"
"blind_000323","found"
"blind_000324","missed"
"blind_000325","found"
"blind_000326","missed"
"blind_000327","missed"
"blind_000328","missed"
"blind_000329","missed"
"blind_000330","missed"
"blind_000331","found"
"blind_000332","missed"
"blind_000333","missed"
"blind_000334","found"
"blind_000335","found"
"blind_000336","found"
"blind_000337","missed"
"blind_000338","missed"
"blind_000339","missed"
"blind_000340","missed"
"blind_000341","missed"
"blind_000342","missed"
"blind_000343","missed"
"blind_000344","missed"
"blind_000345","missed"
"blind_000346","missed"
"blind_000347","missed"
"blind_000348","missed"
"blind_000349","missed"
"blind_000350","missed"
"blind_000351","missed"
"blind_000352","missed"
"blind_000353","found"
"blind_000354","missed"
"blind_000355","missed"
"blind_000356","missed"
"blind_000357","missed"
"blind_000358","missed"
"blind_000359","missed"
"blind_000360","missed"
"blind_000361","missed"
"blind_000362","missed"
"blind_000363","missed"
"blind_000364","missed"
"blind_000365","missed"
"blind_000366","missed"
"blind_000367","missed"
"blind_000368","missed"
"blind_000369","missed"
"blind_000370","missed"
"blind_000371","missed"
"blind_000372","found"
"blind_000373","missed"
"blind_000374","found"
"blind_000375","missed"
"blind_000376","missed"
"blind_000377","found"
"blind_000378","found"
"blind_000379","found"
"blind_000380","missed"
"blind_000381","found"
"blind_000382","found"
"blind_000383","found"
"blind_000384","found"
"blind_000385","found"
"blind_000386","missed"
"blind_000387","missed"
"blind_000388","missed"
"blind_000389","missed"
"blind_000390","missed"
"blind_000391","missed"
"blind_000392","missed"
"blind_000393","missed"
"blind_000394","missed"
"blind_000395","missed"
"blind_000396","missed"
"blind_000397","found"
"blind_000398","found"
"blind_000399","found"
"blind_000400","found"
"blind_000401","found"
"blind_000402","found"
"blind_000403","found"
"blind_000404","found"
"blind_000405","found"
"blind_000406","found"
"blind_000407","found"
"blind_000408","found"
"blind_000409","found"
"blind_000410","missed"
"blind_000411","missed"
"blind_000412","missed"
"blind_000413","missed"
"blind_000414","missed"
"blind_000415","missed"
"blind_000416","missed"
"blind_000417","missed"
"blind_000418","missed"
"blind_000419","missed"
"blind_000420","missed"
"blind_000421","missed"
"blind_000422","missed"
"blind_000423","missed"
"blind_000424","missed"
"blind_000425","missed"
"blind_000426","missed"
"blind_000427","missed"
"blind_000428","missed"
"blind_000429","missed"
"blind_000430","missed"
"blind_000431","found"
"blind_000432","missed"
"blind_000433","missed"
"blind_000434","missed"
"blind_000435","missed"
"blind_000436","missed"
"blind_000437","missed"
"blind_000438","missed"
"blind_000439","missed"
"blind_000440","missed"
"blind_000441","missed"
"blind_000442","missed"
"blind_000443","missed"
"blind_000444","missed"
"blind_000445","missed"
"blind_000446","missed"
"blind_000447","missed"
"blind_000448","found"
"blind_000449","found"
"blind_000450","missed"
"blind_000451","found"
"blind_000452","found"
"blind_000453","missed"
"blind_000454","missed"
"blind_000455","missed"
"blind_000456","found"
"blind_000457","missed"
"blind_000458","missed"
"blind_000459","missed"
"blind_000460","missed"
"blind_000461","found"
"blind_000462","missed"
"blind_000463","missed"
"blind_000464","missed"
"blind_000465","missed"
"blind_000466","missed"
"blind_000467","found"
"blind_000468","found"
"blind_000469","missed"
"blind_000470","missed"
"blind_000471","missed"
"blind_000472","found"
"blind_000473","missed"
"blind_000474","missed"
"blind_000475","found"
"blind_000476","missed"
"blind_000477","found"
"blind_000478","missed"
"blind_000479","missed"
"blind_000480","missed"
"blind_000481","missed"
"blind_000482","missed"
"blind_000483","missed"
"blind_000484","missed"
"blind_000485","missed"
"blind_000486","missed"
"blind_000487","missed"
"blind_000488","missed"
"blind_000489","missed"
"blind_000490","missed"
"blind_000491","missed"
"blind_000492","missed"
"blind_000493","missed"
"blind_000494","found"
"blind_000495","found"
"blind_000496","found"
"blind_000497","found"
"blind_000498","found"
"blind_000499","found"
"blind_000500","missed"
"blind_000501","found"
"blind_000502","found"
"blind_000503","missed"
"blind_000504","missed"
"blind_000505","missed"
"blind_000506","found"
"blind_000507","found"
"blind_000508","found"
"blind_000509","found"
"blind_000510","found"
"blind_000511","found"
"blind_000512","found"
"blind_000513","missed"
"blind_000514","missed"
"blind_000515","missed"
"blind_000516","found"
"blind_000517","missed"
"blind_000518","missed"
"blind_000519","missed"
"blind_000520","missed"
"blind_000521","missed"
"blind_000522","missed"
"blind_000523","missed"
"blind_000524","missed"
"blind_000525","missed"
"blind_000526","missed"
"blind_000527","missed"
"blind_000528","missed"
"blind_000529","missed"
"blind_000530","missed"
"blind_000531","missed"
"blind_000532","missed"
"blind_000533","missed"
"blind_000534","missed"
"blind_000535","missed"
"blind_000536","missed"
"blind_000537","missed"
"blind_000538","missed"
"blind_000539","missed"
"blind_000540","found"
"blind_000541","found"
"blind_000542","found"
"blind_000543","found"
"blind_000544","found"
"blind_000545","found"
"blind_000546","found"
"blind_000547","missed"
"blind_000548","found"
"blind_000549","found"
"blind_000550","found"
"blind_000551","found"
"blind_000552","found"
"blind_000553","missed"
"blind_000554","missed"
"blind_000555","found"
"blind_000556","missed"
"blind_000557","missed"
"blind_000558","missed"
"blind_000559","missed"
"blind_000560","missed"
"blind_000561","missed"
"blind_000562","missed"
"blind_000563","missed"
"blind_000564","missed"
"blind_000565","missed"
"blind_000566","missed"
"blind_000567","missed"
"blind_000568","missed"
"blind_000569","missed"
"blind_000570","missed"
"blind_000571","missed"
"blind_000572","found"
"blind_000573","missed"
"blind_000574","found"
"blind_000575","found"
"blind_000576","missed"
"blind_000577","found"
"blind_000578","found"
"blind_000579","found"
"blind_000580","found"
"blind_000581","found"
"blind_000582","missed"
"blind_000583","missed"
"blind_000584","found"
"blind_000585","found"
"blind_000586","missed"
"blind_000587","missed"
"blind_000588","found"
"blind_000589","missed"
"blind_000590","missed"
"blind_000591","missed"
"blind_000592","missed"
"blind_000593","missed"
"blind_000594","missed"
"blind_000595","missed"
"blind_000596","missed"
"blind_000597","missed"
"blind_000598","missed"
"blind_000599","missed"
"blind_000600","found"
"blind_000601","missed"
"blind_000602","missed"
"blind_000603","missed"
"blind_000604","missed"
"blind_000605","missed"
"blind_000606","missed"
"blind_000607","missed"
"blind_000608","missed"
"blind_000609","missed"
"blind_000610","missed"
"blind_000611","missed"
"blind_000612","found"
"blind_000613","missed"
"blind_000614","missed"
"blind_000615","found"
"blind_000616","missed"
"blind_000617","found"
"blind_000618","missed"
"blind_000619","found"
"blind_000620","missed"
"blind_000621","missed"
"blind_000622","missed"
"blind_000623","missed"
"blind_000624","missed"
"blind_000625","missed"
"blind_000626","missed"
"blind_000627","missed"
"blind_000628","missed"
"blind_000629","missed"
"blind_000630","missed"
"blind_000631","missed"
"blind_000632","missed"
"blind_000633","missed"
"blind_000634","missed"
"blind_000635","missed"
"blind_000636","missed"
"blind_000637","missed"
"blind_000638","missed"
"blind_000639","found"
"blind_000640","missed"
"blind_000641","found"
"blind_000642","missed"
"blind_000643","missed"
"blind_000644","found"
"blind_000645","missed"
"blind_000646","found"
"blind_000647","missed"
"blind_000648","missed"
"blind_000649","found"
"blind_000650","found"
"blind_000651","missed"
"blind_000652","found"
"blind_000653","missed"
"blind_000654","missed"
"blind_000655","missed"
"blind_000656","missed"
"blind_000657","missed"
"blind_000658","missed"
"blind_000659","found"
"blind_000660","found"
"blind_000661","found"
"blind_000662","missed"
"blind_000663","found"
"blind_000664","found"
"blind_000665","missed"
"blind_000666","missed"
"blind_000667","missed"
"blind_000668","missed"
"blind_000669","missed"
"blind_000670","missed"
"blind_000671","found"
"blind_000672","found"
